index,prediction,probability,true_label,truncated
215f53e20e0a03e59ebc9c2df6757cbc75f51cfc,NonBugFix,0.566376,BugFix,False
7de4ae25f0fd144cbc3ddabc47e7a327a747af5a,BugFix,0.873665,NonBugFix,True
a1de106c55ebd6a45118a14e7b3796b78e4b04db,NonBugFix,0.900744,NonBugFix,True
1b620bbe9ad9c387f8202d7df9e1281bbd4ef637,BugFix,0.873748,NonBugFix,True
c0257120f70614612079a802c44ee101384a1759,BugFix,0.873747,NonBugFix,True
d46ec30321f7f24482f5ab1deb0a68d8bf03eb69,BugFix,0.873717,NonBugFix,True
82dadc1c35b1cf1c4f5ca07b0de4db08de40d1f9,BugFix,0.873747,NonBugFix,True
33e3da63f3e89effc191b9db44711f46cbd4c328,BugFix,0.873747,NonBugFix,True
67693d32911ed5fa602dd13ac93a13c0d9655c8e,BugFix,0.873756,NonBugFix,True
40f7554390dea10ea64bd490d09230d2c0814929,BugFix,0.873721,NonBugFix,True
11eddf0c611b2537267e99835d22096964c80528,BugFix,0.873603,NonBugFix,True
b2693f7501ef20c414bf155b9ad88a22f5b854bf,BugFix,0.873749,NonBugFix,True
8e1b7eeacbda6aeeae709b7011df89f6503fc953,NonBugFix,0.565440,NonBugFix,True
f56740e8ee89e97b8963101fe3af410b80d7e907,BugFix,0.873751,NonBugFix,True
4ae38310fbd6c2ea89d9442de1f5bb3c19549314,NonBugFix,0.900524,NonBugFix,True
91411d75f4c66bc4b95df528f06eafd88e0ffbe1,BugFix,0.873768,NonBugFix,True
f0b75a5d80a2cef3d2be0a25b258b75ab00b9001,NonBugFix,0.900924,NonBugFix,True
5d5ba563cf2c04269a4317e665e3fc3bf2defc3d,BugFix,0.873709,NonBugFix,False
dafa23a7e7cc8ff5391170e3ac8485551625060e,BugFix,0.873715,NonBugFix,True
12c8b93408e3731a2046733a83df7e41f721225f,BugFix,0.873763,NonBugFix,True
0103da48e6e58ebf7674bbea96418aac1f2b34e0,BugFix,0.873766,NonBugFix,True
440c6d37512f74dd9db881e407850628ec6fda72,BugFix,0.873776,NonBugFix,True
22644d0e62d87924a341469f715d13055cb347cc,BugFix,0.873753,NonBugFix,True
5875a1ca6832ccda1cc07f0b5bb077fe6dbad612,NonBugFix,0.901072,NonBugFix,True
629819d91a9a66c132d18c35b4fbc2365f4bd1b5,BugFix,0.873764,NonBugFix,True
f3998aef64c407a0cdeb69c846426d96e47a0422,BugFix,0.873755,NonBugFix,True
6336772693fe723991e7af55f235378f639f5cad,NonBugFix,0.900640,NonBugFix,False
e5e7f8539a2e7f17f29df68ffe441044c1549ab5,BugFix,0.873746,NonBugFix,True
a2094e8f3a8ab0455adcc655d64b59f048ca8af0,BugFix,0.873742,NonBugFix,False
4161179d09a60625d9611aa12df87fad16acc6f2,BugFix,0.873727,NonBugFix,True
fa6b53e750431c2c2618fef2ac8e1ea81944d031,BugFix,0.873761,NonBugFix,True
09241b4361e6fb771cd08cf15b7196b325b537bc,BugFix,0.873753,NonBugFix,True
bfa8309763e2523e019dce764cbca002cf6f54ad,BugFix,0.873772,NonBugFix,True
068e75958ca8fe2a1df1e6133243cb67b783c7e5,BugFix,0.873718,NonBugFix,False
4a4d86e43480e05096e6c5c3012b4dfa9f7b9760,BugFix,0.873712,NonBugFix,False
c33fa5238e1757bd738a4582f5fcdb06735c66f5,BugFix,0.873764,NonBugFix,True
4e1b4f3086c91cb6bf5099b138f36bd396a6c22e,BugFix,0.873759,NonBugFix,True
91981505fc72bb173703d0c8bcbb507d73dedf26,BugFix,0.873758,NonBugFix,True
e1bf740834a92202bd1b0f16ed7a063507d4063f,BugFix,0.873657,NonBugFix,True
8f901d363ed2edf31a1885784e6ea84dee079051,BugFix,0.873751,NonBugFix,True
6c1928a0311c85de6055ab1f28d4e04041be256e,BugFix,0.873725,NonBugFix,False
e48a66202ed48af0a8cc17b9027e8431d5432b50,BugFix,0.873724,NonBugFix,True
e533eccabdfa5c055aca2c07652840d993d63d48,BugFix,0.873620,NonBugFix,True
2f9dc2b61d12a83b9e476239bd99d7fdc7156084,BugFix,0.873770,NonBugFix,True
30e86c0b06d4f2f057ab4e00cce1c8a414e71256,BugFix,0.873758,NonBugFix,True
a580b59581cc5c9357c7e6fb3f161720809dffd9,BugFix,0.869796,NonBugFix,False
e24e367c26c713615d911b00305a2b5f32f15199,BugFix,0.873661,NonBugFix,False
9b8e75c95aa5ebb5230ea8b5dbe1745622f27646,BugFix,0.873737,BugFix,True
21299d6f426a48a83d8519829b5a3057ca525bb3,BugFix,0.873755,NonBugFix,True
c30afec80deea72708dbf00f1cb692025860147e,BugFix,0.873755,NonBugFix,True
9bb6e4f2eafd0b1be1ba8efb21db26f7a88e95b7,BugFix,0.873732,NonBugFix,False
d90a65e1b310c15cfa34321aaf2745ca8a5fe051,BugFix,0.873731,NonBugFix,True
a77a0a22c6c2d6e14e6465d8ebb96209ab547b69,BugFix,0.873759,NonBugFix,True
72a1f7fedc7052f532d01c540b88a4f3dcd75ac3,BugFix,0.873741,NonBugFix,True
b0018161cfc7fe1212737069a34f0a3da3aa9b64,BugFix,0.873758,NonBugFix,True
1fd4c9fd3e61d5fa48014e5980945901fefc37b3,BugFix,0.873757,NonBugFix,True
38b9364ccd524f284beb92301ac9bbdab80d0159,BugFix,0.873767,NonBugFix,True
99efe5d6da7a8c7f360ce1c8f6918ac73434eb19,BugFix,0.873761,NonBugFix,True
6c812a388212556ba85d478ca421e0d4f94bba4d,BugFix,0.618903,NonBugFix,False
fc9bdbc29721630a1aa0dbda4732587e8829a235,BugFix,0.873751,NonBugFix,True
99f01fd6ddbf1945e2bc5531e055b7d993c4c634,BugFix,0.873705,NonBugFix,True
3f52e77d2d3b594ca7311f66c75e04c2766933d8,BugFix,0.873696,NonBugFix,False
92de559d6a8c163debcc608b3eac8d7f0923e1f1,BugFix,0.873461,NonBugFix,True
fbb3394ef9974b0f4ef15477f48aaae52dc03030,BugFix,0.873746,NonBugFix,True
0f4c8d8cb60c6abb52ef8720ce862a2d554e591e,BugFix,0.872569,NonBugFix,True
841e9fc63521c65473833d1d4b5395f5f9554caf,BugFix,0.873719,BugFix,False
7fd4fa89abc5cbcdec062cd5a046aaf87e330d24,BugFix,0.873750,NonBugFix,False
8baaa98d5ddf88ead1b61ca5e39a50f57c94a4e8,BugFix,0.873697,NonBugFix,True
6a0244a1d55a96d782c2696c62c16369247e7a61,BugFix,0.873718,NonBugFix,False
2b8e6cf8856d7263831b6eb551246338a4dcf573,BugFix,0.873551,NonBugFix,True
7125c9fc203b683374220322159e451c2c418cef,BugFix,0.873755,NonBugFix,True
0f73c591becf366bf0c0bac7bd817401f674072a,BugFix,0.873766,NonBugFix,True
871dabd6a01d3df0020f833daab33b01074f785b,BugFix,0.873670,NonBugFix,True
c58a5a6729ec361e326eebedf2de288f98af7918,BugFix,0.873692,NonBugFix,False
8c132671bc0bcab7c0486276d16e36394401d16d,BugFix,0.873699,NonBugFix,False
72f34a8a0e04b78e660a12d6330fa280daaf1448,BugFix,0.873712,NonBugFix,False
a144b9e5b277ff7462880dec259e7b3e66b8af3b,BugFix,0.873767,NonBugFix,True
6cab25b0e8e3b224aa275abd2579eab821c9ed56,BugFix,0.873539,NonBugFix,True
84d6296f2e9b0a54795e4f399c6c1c368cbc93ee,BugFix,0.873659,NonBugFix,True
553f6398eecfcb1bec4704a0d562efedea2b89dd,BugFix,0.873324,NonBugFix,True
b4e9488629bf03b4b65abf335e536e85386d1366,BugFix,0.873669,NonBugFix,True
af526b2dc90effc728328f4f01b239c233c189ca,BugFix,0.873752,NonBugFix,True
08e7e32640a5ac118dc42fdf8e90f68432a7c4b1,BugFix,0.873749,NonBugFix,True
170ddf99ed56b04e58f44e8939736c19902363c7,BugFix,0.873757,NonBugFix,True
e20b6d6dc97271b3f0d823ebfd48b7d48cacb4ad,BugFix,0.873762,NonBugFix,True
f1b73f23fee13a2ba2bff25970caacb8f4dd879e,BugFix,0.873756,NonBugFix,True
0c86297ac009df17669b895db13579e3c0ca1559,BugFix,0.873717,NonBugFix,False
5fa9e363332755e8f0fca48a697c3005c4684643,BugFix,0.873736,NonBugFix,True
178a769844ff2fa595e6d32071c5ae56053668f2,BugFix,0.873751,NonBugFix,True
112e9452caf18cf057e7040e0dc1ef7ddd3d247f,BugFix,0.873757,NonBugFix,True
133f2e33f2482d0e963ba5c1a54faffeee910965,BugFix,0.873728,NonBugFix,True
bf1caa228bf3d59d533b70320e65ec75c0556d60,BugFix,0.873709,NonBugFix,True
35e0e4b8ce817d78188271021350dd2c14e40ae4,BugFix,0.873736,NonBugFix,False
5f21c76c0d5ef7fcad58e572e6ed0c7be10e7495,BugFix,0.873748,NonBugFix,True
25130608aa05e50e4f6ca4a1285a904b193212ed,NonBugFix,0.901060,NonBugFix,True
3eba3d1adc9ed9ce410c85d763e681ff0f6d96d2,BugFix,0.873747,NonBugFix,True
f81158c2ef9a9a62664c4ddf4614fe0284d02566,BugFix,0.873651,NonBugFix,True
5813ab7d15c9c97ff45a44e051f8e9776a1f7e42,BugFix,0.873746,NonBugFix,True
c7aabbec74df9f0acacd28f858852e14674ef35f,BugFix,0.873728,NonBugFix,True
fc009509650b2aabbabebd70e9504a7e7664e4ac,NonBugFix,0.900838,NonBugFix,True
d5b954aca957d8362e7d02102fbd727bccc4db87,NonBugFix,0.900896,NonBugFix,True
81e5ce2d1291688d1c2f5f310ce9bd07f509926b,NonBugFix,0.901130,NonBugFix,True
d4862a917b05ac7a47e48dcd7731004c93ddd19c,NonBugFix,0.900718,NonBugFix,True
12d50dda308b20d2385711f195f2543bf47b917f,NonBugFix,0.898919,NonBugFix,False
6802e380456d7ea24e3a1e42f5a28f90d99545a5,NonBugFix,0.899351,BugFix,True
e7e4c614706413180c18d4f1b53066f1454df4f1,NonBugFix,0.900764,NonBugFix,True
