sha,message,prediction,probability,true_label,truncated
787d05616dff3cc3cf26b15047957fa3d6d9666e,"switched to new config
",NonBugFix,0.95833534,NonBugFix,False
36f70f5ab183cacde6d68079d927dbaf63444f2a,"Auto merge of #24360 - servo:build-box-tree, r=SimonSapin

Call BoxTreeRoot::construct from layout_thread_2020

<!-- Reviewable:start -->
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/servo/servo/24360)
<!-- Reviewable:end -->
",NonBugFix,0.8894382,NonBugFix,False
e41c550e9371bc246a66df25edd02fec109d67b0,"win32gdk source files.


git-svn-id: acec3fd5b7ea1eb9e79d6329d318e8118ee2e14f@3309 27541ba8-7e3a-0410-8455-c3a389f83636
",NonBugFix,0.9840922,NonBugFix,False
31a010ba3969eb6781873d222fce3ba4683c8dc9,"Merge branch 'master' of github.com:/maxcom/lorsource
",NonBugFix,0.97116905,NonBugFix,False
7c4fc8847c7c9eebd7e1f5b69a284a0c1a72987f,"discrete states for the overlay height
",NonBugFix,0.9369191,NonBugFix,False
9e04596beb96f606833d38feabcb0fdf67d59e0c,"some edits ...
",NonBugFix,0.96940076,NonBugFix,False
5ff7c0f0b4376aa65f4ad5904144f1031a800f4d,"electronegativity
",NonBugFix,0.957599,NonBugFix,False
268648a30ee7fdf785ef80a7bc09767e43d8da44,"Have topology wait for any start-of-day Felix restarts.

Ensures that tests don't have to worry about Felix restarting mid-test when
its config arrives.
",NonBugFix,0.9306935,NonBugFix,False
47d976fc2451813d96b318fad4a46e20e5b0b7fc,"add additional test in the payload
",NonBugFix,0.9369624,NonBugFix,False
5cf19dde417597609e09a5be0ce537c7f0cff2f4,"Merge remote-tracking branch 'upstream/sql-server' into sql-server
",NonBugFix,0.9738327,NonBugFix,False
d90d6cef2e539c378ccd2cee9ab9c8a9182553ee,"Zero-copy for umbrella

Summary:
title
This alone is not a zero-copy yet, will need to rebase on top of all other zero-copy diffs before we will be able to test performance of this.
But it should be ok for review, since it doesn't conflict with other parts.

Test Plan: tests

Reviewed By: brianp@fb.com

Subscribers: trunkagent, alikhtarov

FB internal diff: D1538327

Tasks: 4889426
",NonBugFix,0.91567934,NonBugFix,False
c7e2ec44546d870fb3c06890bfe143536af413fd,"single IPC client
",NonBugFix,0.934521,NonBugFix,False
ccc555ee1ee1155eeaee9e8701fe98ce8c6c7ac8,"PLFM-5170-II
",NonBugFix,0.976818,NonBugFix,False
fba089b2ba51844fa16691cf63ea24525c7d2e3d,"Address comments
",NonBugFix,0.94267833,NonBugFix,False
39d8f50a15b28e9cdec55b74ad33be1a5e7eb081,"merge master into branch
",NonBugFix,0.96596384,NonBugFix,False
c5df73d63a682ac00db1c57230ad832a0d7f65a9,"more cursors
",NonBugFix,0.96505755,NonBugFix,False
b17d97803f89cfa596718874cdf69916616bbe16,"Merge remote-tracking branch 'upstream/develop' into develop
",NonBugFix,0.974719,NonBugFix,False
12727be1a5a7955929b6be713068f8398e5d8325,"Merge branch 'master' into ArtifactsSeparation
",NonBugFix,0.9737492,NonBugFix,False
42fc4a1080a954d11cbea21a6b914d3b833e3438,"Merge pull request #6835 from wordpress-mobile/issue/6808-analytics-parity

Media: analytics parity with Android",NonBugFix,0.7165965,NonBugFix,False
2c12b99c48be0c7c971e8889722f8425e6a68b4d,"test - ignore

git-svn-id: 51b39fcfd0d3a6ea7caa15377cad4af13b9d2664@10141 5fb7f6ec-07c1-534a-b4ca-9155e429e800
",NonBugFix,0.9838779,NonBugFix,False
1e3899fbe40ad64f0ea6fd35e2042897370c4e2b,"Merge remote-tracking branch 'origin/v01_release' into v01_release
",NonBugFix,0.96521944,NonBugFix,False
7c5c12b5d1151c1a6ab4970bae4442fce545a0dd,"Merge branch 'devel' of https://gitlab.com/embree/embree into devel
",NonBugFix,0.9844694,NonBugFix,False
ba793054af23a971a127e54be3beb8625977e435,"Merge branch 'develop' into cl_kernel_genertator_block
",NonBugFix,0.9739703,NonBugFix,False
f6e4d7cc6bd88cf3bb3bbfb453ebf802fb6ec7ff,"Lowering thread pools in Enterprise filer
",NonBugFix,0.9425572,NonBugFix,False
b0e3fbac99afc5297c4c2f7e461dcb1ee1ef295e,"remove task thats never been used, sorry
",NonBugFix,0.7948133,NonBugFix,False
d027e958e8ef212635b3656ceaffffaff9798ff1,"what a sorry excuse of code this is

",NonBugFix,0.76939195,NonBugFix,False
61adb009f767e202cf92ab68bd1eff8237464460,"Merge branch 'master' into navigationBar
",NonBugFix,0.9346388,NonBugFix,False
369b2c5a06f793a9eb29ddcb612e4bf4764d64db,"Give URLs 50 characters

Hopefully this will get most URLs to the point where they're not being
truncated.


Former-commit-id: 8338127eb93d37611e5d9d094d9e9b6b245ceb5c",NonBugFix,0.9565385,NonBugFix,False
ce3c772677111a2aabf0905261b526e2401ea55a,"MDL-62237 repositories: Add SVG icons for built-in repositories
",NonBugFix,0.9815083,NonBugFix,False
855156ce7d97c795a5813f59e070d39672b440b0,"Historic presets
",NonBugFix,0.9764866,NonBugFix,False
7ae6a75826be6d7ddd885947630ecb26ba9fa1a5,"usb: sr_usb_find() uses standardized connection string to find a USB device
",NonBugFix,0.93958324,NonBugFix,False
8296b6bbe29d8ead112b7690a19d6589c2dc912e,"Following old code
",NonBugFix,0.9529126,NonBugFix,False
24429a2a352b05ebe692fd4902e5be269cecdd08,"link to filtered project list
",NonBugFix,0.92505866,NonBugFix,False
