sha,message,prediction,probability,true_label,truncated
0e166c04eb66137bc2b8ed69388f3fc620298e4d,"Add support for unowned/weak array elements
",NonBugFix,0.9997321,NonBugFix,False
de2eb894a54313baf027c54a77a7c5c679162f37,"drivers: Mark arrays as unowned instead of weak
",NonBugFix,0.9996475,NonBugFix,False
300e643ce781132b7276962b1a8223b3ebde5fde,"ctypresolver: signals: register default implementations
",NonBugFix,0.99969053,NonBugFix,False
eee27a89faa533249f7b3aad7af23c0fd61dfc6e,"signals: collect default implementations
",NonBugFix,0.99971485,NonBugFix,False
afb7c165c79a7ed483b1871c1fb4601ce07b4918,"embedded: Fix check() for relative paths
",BugFix,0.9996705,BugFix,False
c0adeabd80460d704d832b12ddc8b694ce4e52ea,"doap++
",NonBugFix,0.999677,NonBugFix,False
2dc8e00ddfea221e5592d0e7cfbf0cbe1c031d57,"gir-importer: docbook: process all <doc-* tags
",NonBugFix,0.99968296,NonBugFix,True
faeaecd49a7c17ec7631cec7a859933976ed7068,"gir: ignore type struct docs
",NonBugFix,0.99970347,NonBugFix,False
8c9507ec33019b88dd43ab47e1bd50d22332740b,"girmetadata: allow to override <ONLINE>
",NonBugFix,0.9995468,NonBugFix,False
37819b1b6409eb7cbaa96366bb91f6557f821b11,"gir-importer: docbook: resolve internal links
",BugFix,0.9995445,NonBugFix,True
0c5997b20245bf1ee179ca09893947d5f82a4620,"gir-importer: markdown: resolve internal links
",BugFix,0.999531,NonBugFix,True
58e527fbe2020611a1f2596d5cffe8ad4a0cc240,"Allow to inherit from imported docs
",NonBugFix,0.99971825,NonBugFix,True
aa0fa2da0f5e0b1ab6ace926866342b803504941,"html: add <meta charset=""UTF-8""/>
",NonBugFix,0.9997058,BugFix,False
89ecb6a91b5bfbe7d1fbf7703b09519079bd6a33,"gir-importer: skip <union> elements without ctype-attributes
",NonBugFix,0.99964625,BugFix,False
5257a46ff98a481641a7c9b86e9c4e6dd2981632,"Split process-comments into parse and check runs
",NonBugFix,0.9996853,NonBugFix,True
a4ea5ec772783547025169e51f3471b728bcf881,"ctyperesolver, virtual signals: register function pointer names
",BugFix,0.9187062,NonBugFix,False
221e57d0dc01fe95309987db0e1b5f8264b0c85a,"docbook: improve implicit parameter handling
",BugFix,0.87213415,NonBugFix,True
a03ba9564082f08908fba57932b6923ece2ee169,"Improve handling for c::this
",BugFix,0.9995088,NonBugFix,False
9ad12d9f43bfde5e0dbe836cac76a3d00fefc82d,"docbook-parser: Accept symbols with trailing 's'
",NonBugFix,0.9996734,NonBugFix,False
0a6b2c11738cb54c89771c6d663bd4bfb71511a8,"Improve CTypeResolver for virtual/abstract methods
",NonBugFix,0.9996739,NonBugFix,True
30c774c06fa73105ee30032a4f967dce95b55f1f,"gir-importer: add support for markdown
",NonBugFix,0.9997273,NonBugFix,True
98e3eb8204423d1e5ff8fc49230c52273ac8f5b4,"devhelp: Generate better keywords
",NonBugFix,0.9996953,NonBugFix,False
affd19ae7974c17050377e1f9308e4d11a6e4beb,"devhelp: Add missing keywords
",NonBugFix,0.99969774,BugFix,False
9e4c48a9368e640b1c26cf9b7affc403acabd8bf,"basic doclet: Add ""wiki-index-name""

Used by valadoc.org
",NonBugFix,0.99972194,NonBugFix,False
7b22bc146b318790552aa8ec1ece25a3a06d1316,"Add support for cgraphs

Based on patch by Richard Schwarting

Fixes bug 703688.
",BugFix,0.99967146,NonBugFix,True
6b8099e8537df5f2beff8971fbe4d61a05b38c54,"Importer: Resolve c::*_finish methods
",BugFix,0.99682933,NonBugFix,False
2a8739c8bc4dd1998fd000033d9ef0d3819eff76,"gir-importer: Ignore <annotation> tags
",NonBugFix,0.999648,NonBugFix,False
5dde44de84cc90ad8f8fe554deaa64597e54ab64,"gir-importer: Add support for <instance-parameter>
",NonBugFix,0.9997192,NonBugFix,True
06ef3883f57116596653cf68e7728e0d695e45b0,"coding style changes
",NonBugFix,0.99962366,NonBugFix,True
985c5ddb6b28fa38cabe82581e7c47a51b62f79a,"gtkdoc: Document implicit struct functions
",NonBugFix,0.9997115,NonBugFix,True
06ae95a8dc8d497e4bc6e8af9dc2129555050638,"libvaladoc: Add Struct.copy_function_cname, Struct.destroy_function_cname
",NonBugFix,0.999713,NonBugFix,True
394e001e16e62427487937356967f2e67a03eefb,"gtkdoc: Avoid warnings for undocumented parameters
",NonBugFix,0.9997187,BugFix,False
78f50be5f2a781904406eeb45b6bf9dc1ea6221f,"gtkdoc: Improve docs for generics
",NonBugFix,0.9997115,NonBugFix,True
7679e6c2affe21f5179dbd1bedaac4cfa0b00436,"0.20.x: Add support for [GenericAccessors]
",NonBugFix,0.99972194,NonBugFix,False
83b7c4d75f2166f196b047398588bd7c1eb002a7,"0.18.x: Add support for [GenericAccessors]
",NonBugFix,0.99972194,NonBugFix,False
2dc9f055ecb49392e5502e8d6b30c28f65c06c22,"0.14.x: Fix TypeParameter.base
",BugFix,0.9996697,BugFix,False
2815cc627460edad383139d3e26a74b4a0ecf7ee,"0.16.x: Fix TypeParameter.base
",BugFix,0.9996697,BugFix,False
4b75bb91694219b73e4474b54d3a420ff23b7c3b,"0.18.x: Fix TypeParameter.base
",BugFix,0.9996697,BugFix,False
8ec73ad2cf0749f5e503787c63f160f3cea2964c,"0.20.x: Fix TypeParameter.base
",BugFix,0.9996697,BugFix,False
bf025c0972c742d450442630739801b8e4c6a163,"gtkdoc: Improve documentation for _get and _set
",NonBugFix,0.99972486,NonBugFix,False
df9357f508feeff9e7730a7124b7d700829a5951,"libvaladoc: Use --api-version instead of --version
",NonBugFix,0.99973255,NonBugFix,False
cd519e56eee4a0503bf696318dc09f6a745e7c37,"driver: Add support for vala-0.20
",NonBugFix,0.9997267,NonBugFix,True
a56fcb77087725fa412b53ffe92d441acca113cd,"Fix make check for older valac versions
",NonBugFix,0.9990975,BugFix,False
8a670906e9e04b883afeca949a6791fa02dc9058,"gee-0.8
",NonBugFix,0.9996298,NonBugFix,True
78cd19e253c72260935fc04610f7f22784c957a3,"gtkdoc-scanner: Add support for &nbsp;, &quot;, &apos;
",NonBugFix,0.9997192,NonBugFix,False
67f9cdb3f427304d6a464dd2007cc4ff0be2f672,"configure.in -> configure.ac
",NonBugFix,0.9995936,NonBugFix,False
538aa3297e6f491578c57bf73287056400dca6aa,"Fix generic-api-test (out -> @out)
",BugFix,0.99966395,BugFix,False
5a00916143eb6531f8fd848727d70b87edb21f60,"libvaladoc: Avoid multiple imports
",NonBugFix,0.99970055,NonBugFix,False
c602f64b1d3443855fc0923a571bbdaf8b43e1f0,"libvaladoc: .valadoc-importer: Fix encoding issues
",BugFix,0.9987077,BugFix,True
9cb89acac0adf0ee111ffc6e52115966c549690a,"libvaladoc/content: SourceCode: Strip leading and trailing empty lines
",NonBugFix,0.99961317,NonBugFix,False
ce8c758c79ea399fd6e3d70f8a24586fa67ea50c,"libvaladoc: .valadoc-importer: Add support for ::append and ::prepend
",NonBugFix,0.99970776,NonBugFix,True
0a0f2de7b53e3a8f2c68dcacfb8a6602f5b4d10b,"importer: gir: Process callback comments
",NonBugFix,0.99970675,NonBugFix,False
1e8e06bb1654f1a48a5055cfbbb3696ccc5122e4,"libvaladoc: is_browsale: check parents
",NonBugFix,0.9996762,BugFix,False
028a40aed648eeabda8a95a9bbbb06b98c3fa21e,"libvaladoc: Mark TypeParameter as unbrowsable
",NonBugFix,0.99969715,BugFix,False
6d999ad7427d475b1a969709e843dc33c058262c,"libvaladoc: Escape names if necessary
",NonBugFix,0.9996793,BugFix,True
fdada53286ea9ae5128b2bb330762f1e051d4a5a,"doclet/gtkdoc: Escape text and source code
",NonBugFix,0.99970347,BugFix,False
4c4fa747f3502fb40cf9827a9408d86aac469561,"Accept {@inheritDoc} in comments without parent documentation
",NonBugFix,0.9996805,BugFix,False
9672afbc8de8fb986f08b24ebb1fba8e4f5c2fbf,"Fix make distcheck
",BugFix,0.9996692,NonBugFix,True
81151dab07508e1657ddf252a11672c0b1868e7a,"Improve {@inheritDoc}
",NonBugFix,0.999662,NonBugFix,True
1486befd45c88ff23e84852d2b605086683a18d4,"libvaladoc/html: Fix nullptr in write_documentation
",BugFix,0.9989853,BugFix,False
f08b397df4f4089d44658903106cdb030ed54a9f,"icons: s/font: monospace/font-family: monospace
",NonBugFix,0.99966675,BugFix,False
0613ea4287dc6744bc75ebd857b5bcb24331c0a1,"libvaladoc: Accept error codes in @throws
",BugFix,0.9995093,NonBugFix,False
5fe9947c394d1f6d855951b89b94a2153efe9562,"tests: Add missing vapi
",NonBugFix,0.99972963,NonBugFix,True
9d7827a824e958123bd43df53d8d3019decd4b3d,"doclets/gtkdoc: Fix [Deprecated]
",NonBugFix,0.9975337,BugFix,True
1cfea5ddbdda59ea7b6194aab353b6baf519a8a5,"libvaladoc: Api.Class: Add is_compact
",NonBugFix,0.9997053,NonBugFix,False
32b9c64ea4d27780373ac89403a6a020f734b472,"libvaladoc/api: Add finalize and free function names to Api.Class
",NonBugFix,0.9997096,NonBugFix,True
d147f38c1454d3fffcbb85e8c9ce64e9079fc686,"doclets/gtkdoc: Register struct type macro/function
",NonBugFix,0.9997096,NonBugFix,False
96be7e81f00cd7d01a45d59793f02274a0dd4395,"libvaladoc/api: Hide unbrowsable property getters and setters
",NonBugFix,0.9996663,BugFix,False
ea630c53ad06b868112d6b23fb7feeb632538731,"libvaladoc: Add metadata for gtkdoclet
",NonBugFix,0.9997192,NonBugFix,True
9d063401ca4d1b181d7f6e8e81aac5c344d75271,"tests: Update generic-api-test
",NonBugFix,0.9997335,NonBugFix,False
5e70a81a7af47ccab0a9476bd6e00a2edd3208a3,"Add tests for drivers
",NonBugFix,0.9997339,NonBugFix,True
a5be9be3c238dbaa80075c16d1ee535c187003fb,"Add tests for MarkupReader
",NonBugFix,0.9997349,NonBugFix,True
74f52f6aa195af2df445e1e5887331f69542156b,"Add tests for libvaladoc/parser and gtkdoc-scanner
",NonBugFix,0.9997306,NonBugFix,True
22e26f92848363f31fd7aa0a5de7f5dce8666bf9,"libvaladoc: Move Api.NodeType to api/nodetype.vala
",NonBugFix,0.9997101,NonBugFix,True
66586932bbd0d85f1868d0e382da843398c34665,"drivers: fix namespace comment selection
",BugFix,0.99698377,BugFix,True
2fe47371d2042e1d7d116d9fdbbaf338aaaa109b,"libvaladoc: fix vala 0.14.x compatibility
",BugFix,0.9979408,BugFix,False
42f200a010d5c374bfc9d1d9c6cfef58aa89be54,"libvaladoc/html: Show all known sub-structs
",NonBugFix,0.9996915,NonBugFix,False
13aba44f713378272aa92ad033c7016609802661,"libvaladoc: register child structs
",NonBugFix,0.99969345,NonBugFix,False
ca0431e1944864281c2490e632c71d03a28745aa,"libvaladoc: Drop deprecated methods
",NonBugFix,0.9997244,NonBugFix,True
cb1e01f5c5a26fa2660fcbfa9494cc70fd93e3bc,"libvaladoc: rename Api.Interface.get_all_implemented_interface_list to get_full_implemented_interface_list
",NonBugFix,0.99972916,NonBugFix,False
3ca94cabb68789cb20e37e0c9ecea7acc8b9487e,"libvaladoc/html: Add ""All known members inherited from ""
",NonBugFix,0.9997092,NonBugFix,True
8cfab911725cd434f63da2b138aa483cc5ac90f4,"gtkcommentparser: Fix --verbose
",BugFix,0.999671,BugFix,False
1eebb3a020b0a91f153cf313bd90b0600b94a56f,"gir-importer: Process implicit parameters
",NonBugFix,0.9996677,NonBugFix,True
2daa05f2bd185e3de5c2e85afc86b2bc6194b41b,"gtkdoc: accept %<numeric>
",NonBugFix,0.99965274,NonBugFix,False
11f0cd175291d51e23b5074fa3964530f16e72c2,"libvaladoc/api: Fix memory cycle: method.base_method <> method
",BugFix,0.99967283,BugFix,False
93c84a28089a7d8e96b2c22b2b0201a49b7c7aff,"driver/0.18.x: Add support for vala-0.17.4
",NonBugFix,0.99972534,NonBugFix,True
14d00ae932291908bf15a8d113d09f4a692360a3,"libvaladoc/parser: add workaround for  broken symbol resolver (valac 0.17.4)
",BugFix,0.8577267,NonBugFix,False
4045ba965b142af50ddd1eeab245686b416c9672,"libvaladoc: accept @return in constructors
",NonBugFix,0.9996948,NonBugFix,False
056a7494cc2a60370608f44e261cd9da75dfde3b,"libvaladoc: accept ""Vala ??.??.??-dirty"" as driver format
",NonBugFix,0.99970347,NonBugFix,False
d58b4ea47102809453bc8e10298532de1bf29e00,"error/warning message improvements
",BugFix,0.9994885,NonBugFix,True
b21e59500c5041e5a0bd2f51b9f15fa07985d42d,"doclets/devhelp: Imrpove page titles
",NonBugFix,0.99970347,NonBugFix,False
7bc385ce8af35be772114e3cf7c429844afb130e,"doclets/htm: Imrpove page titles
",NonBugFix,0.99970824,NonBugFix,False
482fb8025a05eb3763648c9e20c42eef1a9e787b,"libvaladoc: Improve plugin selection (#676453)
",NonBugFix,0.9997101,NonBugFix,False
eef0cec3e990ea2646ba3cffab1980f65b031a3f,"libvaladoc: Avoid reparsing of comments
",NonBugFix,0.99971104,BugFix,False
20469451467f2234649007caef04e89b74ac9be2,"libvaladoc/taglets: error/warning message improvements
",BugFix,0.9957777,NonBugFix,True
e825f84180d92aeaf6d83cab2330d548c47b2024,"libvaladoc/html: Add methods to package overviews
",NonBugFix,0.9997163,BugFix,False
aa7023edb74292bf6e8a6fab7775fdb2aa93efd8,"libvaladoc/api: Fix documentation for Method.is_override
",BugFix,0.99405557,NonBugFix,False
f49d816d8cd2565c8abeeb4fd0b71a0a14bd86f7,"libvaladoc/api: Fix documentation for Method.is_static
",BugFix,0.99659216,NonBugFix,False
c12841ed6b314be622011b785ce943e5e67b0ec1,"libvaladoc/api: Drop glib_error
",BugFix,0.99425876,NonBugFix,False
64974b8bb083d41fb37ec54f6d074a51a697f479,"libvaladoc: Add context check for @return
",NonBugFix,0.99972105,NonBugFix,False
ca801cceaa0d38103754d1c3e31505216baa89de,"libvaladoc: Add context check for @throws
",NonBugFix,0.9997206,NonBugFix,False
9a248d5f59f77181342a11e37a7423d85387cd8a,"libvaladoc: ErrorReporter: Drop ErrorType
",NonBugFix,0.9996793,NonBugFix,False
c43bb2308d62c558eac5708338b5a666c3fbfa66,"libvaladoc: @throws: Check for unthrown exceptions
",BugFix,0.9995307,NonBugFix,False
5b67b39c05973b77d8d68d0b8503b037147d1092,"libvaladoc/api: Add missing parameters to signals
",NonBugFix,0.9997115,BugFix,False
1f9fb52c7c71ad74b48797f1655ca5b7636e77c3,"driver/0.18.x: Add support for vala-0.17.1+
",NonBugFix,0.9997244,NonBugFix,True
3fb36fe531cc65e20572eadc197de34bc3762ce5,"libvaladoc/html: Turn namespace/package-notes into links
",NonBugFix,0.99969393,NonBugFix,False
0e707e9b96c2086154b5352bf4c5ceb050a590a5,"Add support for valac 0.18.0
",NonBugFix,0.9997344,NonBugFix,True
75d4596d3f067c2e049364b8279f72b4fc087c3c,"driver: Trim lines in *.dep files
",NonBugFix,0.99965554,BugFix,False
caae1a453c3cf2f996c0fdecdb4d79ef08ce6213,"libvaladoc: Fix typo in ValadocDocumentationScanner
",BugFix,0.9995647,NonBugFix,False
df089746e63a6e8d7e5cb150c5da8926a778b5c6,"libvaladoc: documentation fixes
",BugFix,0.9977966,NonBugFix,True
e1a2fd0eb19fca68caba2bfcdbfb069789a302a9,"libvala: Add support for libvala-0.16
",NonBugFix,0.9997273,NonBugFix,False
5dbaebf86e6584b403f75e3502d68a45abc82544,"libvaladoc/html: Sort subnamespaces in navis
",NonBugFix,0.99968916,NonBugFix,False
0ff8f311772a51fcb269842d40b1b7478a5426a8,"libvaladoc: gir-importer: Error reporting improvements
",BugFix,0.99927354,NonBugFix,False
